Date,Covid-19,kovid-19,corona,korona,covid-19 belirtileri,corona belirtileri,kovid-19 belirtileri,covid belirtileri,korona belirtileri,corona belirtisi,korona belirtisi,corona semptomları,covid-19 semptomları,covid-19 virüsü,covid virüsü,corona virüsü,koronavirüs,pandemic,pandemi,karantina,quarantine,covid,kovid,Omicron,delta,omikron,delta belirtileri,varyant,delta virüsü,BioNTech,Turkovac,Sinovac,Sputnik,biontech aşısı,sinovac aşısı,alman aşısı,çin aşısı,türk aşısı,rus aşısı,Covid aşısı,korona aşısı,corona aşısı,covid 19 vaccine,biontech yan etkileri,alman aşısı yan etkileri,çin aşısı yan etkileri,sinovac yan etkileri,kol ağrısı,aşı yan etkileri,corona aşısı yan etkileri,korona aşısı yan etkileri,covid-19 aşısı yan etkileri,sinovac aşısı yan etkileri,sputnik aşısı yan etkileri,turkovac aşısı,Covid-19,kovid-19,corona,korona,covid-19 belirtileri,corona belirtileri,kovid-19 belirtileri,covid belirtileri,korona belirtileri,corona belirtisi,korona belirtisi,corona semptomları,covid-19 semptomları,covid-19 virüsü,covid virüsü,corona virüsü,koronavirüs,pandemic,pandemi,karantina,quarantine,covid,kovid,Omicron,delta,omikron,omicron belirtileri,omikron belirtileri,delta belirtileri,varyant,omicron semptomları,omikron semptomları,omicron öldürür mü,omicron virüsü,delta virüsü,BioNTech,Turkovac,Sinovac,Sputnik,biontech aşısı,sinovac aşısı,alman aşısı,çin aşısı,türk aşısı,rus aşısı,Covid aşısı,korona aşısı,corona aşısı,covid 19 vaccine,biontech yan etkileri,alman aşısı yan etkileri,çin aşısı yan etkileri,sinovac yan etkileri,kol ağrısı,aşı yan etkileri,corona aşısı yan etkileri,korona aşısı yan etkileri,covid-19 aşısı yan etkileri,sinovac aşısı yan etkileri,sputnik aşısı yan etkileri,turkovac aşısı yan etkileri,turkovac aşısı
1/13/2021,16,21,43,32,0,20,0,24,24,0,33,0,0,0,0,24,22,18,7,32,16,37,18,0,30,0,0,0,0,2,0,13,16,3,10,12,34,0,0,15,51,32,0,0,0,50,0,45,4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/14/2021,47,43,46,43,0,8,0,18,5,38,19,0,0,0,0,50,25,56,9,33,17,71,40,0,28,0,0,0,0,4,0,21,28,4,20,27,53,11,8,77,67,59,28,2,0,52,9,16,19,0,0,45,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/15/2021,48,22,46,40,0,12,0,11,10,0,24,0,0,0,0,25,24,38,10,34,17,56,33,88,25,0,0,18,0,4,0,17,24,4,9,6,81,5,0,47,78,47,29,0,0,53,0,48,19,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/16/2021,33,0,39,39,0,20,0,19,16,21,15,0,0,0,45,45,21,20,11,36,37,38,47,0,24,0,0,19,0,2,0,17,29,1,7,7,27,0,0,25,30,35,30,0,0,28,0,42,0,81,24,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/17/2021,19,0,37,34,0,13,0,12,16,0,15,0,0,0,0,0,25,0,9,35,0,32,23,0,37,0,0,18,0,2,0,14,17,2,16,3,26,11,0,14,41,48,0,0,0,0,0,57,8,0,23,0,12,0,0,36,44,46,43,5,20,0,15,17,31,18,0,0,0,26,57,38,66,15,23,13,39,28,0,17,0,0,0,0,10,0,0,0,0,0,2,0,10,47,1,9,4,28,13,13,31,27,85,52,0,0,46,6,40,5,28,9,0,17,0,0,0
1/18/2021,20,22,35,36,0,18,0,16,20,0,19,0,0,0,0,8,21,19,13,18,0,37,18,0,28,0,0,18,0,1,0,9,25,1,9,6,28,5,0,21,25,33,85,0,0,26,9,39,11,0,22,0,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/2021,27,0,45,36,0,12,0,11,15,0,15,0,0,0,0,33,22,38,7,28,0,33,22,0,45,0,0,18,0,1,0,10,12,2,8,0,16,0,8,24,50,40,28,0,0,0,9,39,4,0,22,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/2021,36,21,39,28,0,20,0,20,20,38,23,0,0,0,0,16,21,73,12,36,0,34,32,0,27,0,0,17,0,1,0,5,28,2,3,9,15,0,0,17,9,32,0,0,0,25,0,38,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/21/2021,17,22,26,35,17,16,0,20,5,58,29,0,0,0,0,17,19,38,12,40,0,35,15,0,28,0,0,18,0,1,0,4,12,1,5,0,10,0,0,18,22,26,0,2,0,0,18,24,4,0,22,0,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/22/2021,26,0,36,28,0,19,0,7,10,0,10,0,0,0,0,9,31,58,13,47,18,28,34,0,23,0,0,18,0,0,0,2,19,1,0,0,13,0,8,21,32,27,0,0,0,0,0,24,4,0,0,0,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/23/2021,27,0,32,40,0,21,0,15,17,0,16,0,0,0,47,28,23,0,10,51,0,32,37,0,19,0,0,20,0,1,0,4,57,1,5,7,18,18,37,6,17,37,32,0,0,0,0,26,0,0,0,0,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/2021,19,0,42,35,0,18,0,12,6,43,5,0,0,0,47,9,21,0,10,37,19,30,20,0,31,0,0,20,0,1,0,3,15,1,3,3,18,6,9,7,20,15,31,0,0,0,0,43,0,0,25,0,0,0,0,37,23,45,49,5,24,0,20,16,18,19,0,0,0,14,50,38,50,18,24,61,42,31,0,16,0,0,0,0,20,0,0,0,0,0,1,0,4,45,1,5,1,15,14,9,23,27,61,46,0,0,0,5,52,4,0,10,0,0,0,0,0
1/25/2021,26,23,40,33,0,23,0,5,21,60,10,0,0,0,0,26,21,19,11,41,0,35,19,0,26,0,0,37,0,0,0,2,23,0,0,0,7,0,0,12,22,20,29,0,0,0,0,81,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/2021,23,0,33,35,18,17,0,7,16,0,20,0,0,0,0,26,29,20,9,51,18,36,11,0,29,0,0,0,0,1,0,2,19,0,5,6,13,0,0,14,26,27,0,0,0,0,0,16,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/27/2021,21,0,38,40,0,11,0,14,16,20,15,0,0,0,0,9,20,0,16,26,18,38,19,0,50,0,0,19,0,1,0,2,12,1,0,0,3,0,0,15,42,55,0,0,0,0,0,16,4,0,23,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/28/2021,31,0,42,37,0,15,0,14,16,41,10,0,0,0,45,27,25,40,14,10,0,38,16,0,42,0,0,19,0,0,0,3,18,1,8,0,14,6,0,10,43,49,0,0,0,0,0,17,0,0,24,0,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/29/2021,29,0,40,32,0,22,0,22,16,0,10,0,0,0,0,27,21,0,12,46,0,38,31,0,48,0,0,38,0,0,0,1,35,0,3,0,17,0,0,17,37,28,0,0,0,0,0,17,0,0,24,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/30/2021,33,0,46,30,0,9,0,17,27,0,21,0,0,0,46,9,28,41,9,36,37,31,16,0,24,0,0,39,0,1,0,2,15,1,2,3,7,12,0,10,27,0,31,0,0,0,0,42,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/31/2021,23,0,42,33,0,28,0,15,17,22,11,0,0,0,0,47,33,64,13,48,19,33,25,0,38,0,0,20,0,0,0,2,13,0,2,0,7,6,0,16,31,30,0,0,0,30,0,44,13,0,0,0,0,0,0,31,24,47,46,5,24,0,17,32,33,35,52,0,0,28,65,38,45,15,23,42,37,25,0,17,0,0,0,0,25,0,0,0,0,0,1,0,3,47,1,2,1,12,4,7,21,25,60,9,0,0,8,2,45,5,0,10,0,5,0,0,0
